date,year,month,month_name,solar_radiation,cloud_amount,soil_wetness,rainfall,pressure,temp_max,temp_skin,wind_speed_max,wind_speed_corrected
2022-01-01,2022,1,Jan,18.29,53.53,0.85,3.41,99.74,30.14,24.37,5.65,4.18
2022-02-01,2022,2,Feb,19.83,51.55,0.76,6.01,99.67,30.93,24.37,4.84,4.11
2022-03-01,2022,3,Mar,21.33,51.12,0.68,1.69,99.52,33.39,26.65,4.98,3.39
2022-04-01,2022,4,Apr,20.89,65.0,0.75,9.53,99.49,33.75,27.02,4.06,2.88
2022-05-01,2022,5,May,20.3,69.26,0.73,2.97,99.33,31.52,26.8,7.36,6.62
2022-06-01,2022,6,Jun,19.66,75.84,0.63,1.08,99.36,31.84,26.74,6.61,6.02
2022-07-01,2022,7,Jul,18.72,83.28,0.57,3.75,99.34,33.01,27.23,8.49,5.72
2022-08-01,2022,8,Aug,19.63,81.5,0.57,3.94,99.34,34.22,27.14,8.06,6.3
2022-09-01,2022,9,Sep,20.62,62.75,0.6,1.99,99.49,34.29,27.09,7.05,6.02
2022-10-01,2022,10,Oct,16.68,83.6,0.63,7.76,99.56,33.87,26.52,7.12,4.52
2022-11-01,2022,11,Nov,15.55,70.75,0.83,7.97,99.65,30.18,24.67,5.57,3.29
2022-12-01,2022,12,Dec,13.13,78.83,0.85,9.87,99.6,30.04,24.28,7.08,4.61
2023-01-01,2023,1,Jan,16.8,64.06,0.86,4.34,99.81,28.61,23.1,5.38,4.8
2023-02-01,2023,2,Feb,19.85,51.87,0.84,5.81,99.79,30.01,23.83,5.65,4.64
2023-03-01,2023,3,Mar,21.17,51.33,0.73,3.36,99.71,33.37,26.18,4.86,3.56
2023-04-01,2023,4,Apr,22.03,55.19,0.67,4.79,99.54,33.32,27.63,3.87,2.83
2023-05-01,2023,5,May,19.63,66.01,0.73,4.55,99.54,32.43,26.87,6.41,4.93
2023-06-01,2023,6,Jun,21.06,66.46,0.56,0.81,99.45,33.06,27.81,6.71,6.46
2023-07-01,2023,7,Jul,19.67,69.65,0.49,0.53,99.51,36.3,28.7,7.77,6.77
2023-08-01,2023,8,Aug,22.07,48.97,0.38,0.64,99.55,37.15,30.34,7.33,5.88
2023-09-01,2023,9,Sep,19.64,80.13,0.52,4.42,99.57,35.33,28.13,7.4,6.28
2023-10-01,2023,10,Oct,17.47,78.73,0.74,12.92,99.76,31.68,26.52,6.2,3.57
2023-11-01,2023,11,Nov,14.98,82.52,0.94,18.65,99.7,30.45,25.79,3.93,2.57
2023-12-01,2023,12,Dec,12.9,81.69,0.96,16.38,99.7,30.38,25.45,5.77,4.54
2024-01-01,2024,1,Jan,16.04,56.76,0.93,7.61,99.86,30.12,24.45,5.25,4.38
2024-02-01,2024,2,Feb,21.06,33.53,0.8,0.58,99.9,31.68,25.47,5.71,4.91
2024-03-01,2024,3,Mar,23.29,33.49,0.58,0.73,99.8,36.68,27.27,5.13,3.82
2024-04-01,2024,4,Apr,22.1,70.82,0.49,2.15,99.46,39.0,31.5,5.19,2.6
2024-05-01,2024,5,May,17.91,83.69,0.62,7.82,99.31,38.85,28.92,8.27,4.6
2024-06-01,2024,6,Jun,19.63,75.84,0.61,1.33,99.46,33.17,27.58,7.7,6.3
2024-07-01,2024,7,Jul,19.91,74.36,0.5,0.66,99.43,35.36,28.45,8.14,6.79
2024-08-01,2024,8,Aug,19.33,77.19,0.56,4.81,99.49,33.85,27.77,6.7,5.47
2024-09-01,2024,9,Sep,20.75,64.22,0.51,0.92,99.47,35.16,28.7,7.45,6.28
2024-10-01,2024,10,Oct,17.73,78.36,0.6,5.44,99.58,36.51,27.12,6.61,4.19
2024-11-01,2024,11,Nov,13.4,73.68,0.78,13.73,99.51,31.01,25.81,8.68,4.07
2024-12-01,2024,12,Dec,15.61,64.89,0.86,5.36,99.63,30.01,25.26,5.73,3.72
2025-01-01,2025,1,Jan,13.16,81.49,0.88,8.48,99.69,29.65,24.17,5.77,4.77
2025-02-01,2025,2,Feb,21.45,32.77,0.82,2.41,99.81,30.18,24.34,6.08,4.45
2025-03-01,2025,3,Mar,21.56,51.23,0.78,4.09,99.67,32.1,25.98,5.85,3.46
2025-04-01,2025,4,Apr,21.4,62.02,0.79,8.29,99.54,31.86,26.99,4.71,3.11
2025-05-01,2025,5,May,20.08,76.05,0.8,5.21,99.4,33.66,26.95,8.59,5.59
2025-06-01,2025,6,Jun,20.8,68.55,0.71,1.47,99.47,31.62,26.71,8.02,6.61
2025-07-01,2025,7,Jul,20.92,66.52,0.57,0.48,99.42,34.99,27.26,7.67,6.9
2025-08-01,2025,8,Aug,20.67,68.71,0.51,1.09,99.48,34.97,27.85,7.33,6.16
2025-09-01,2025,9,Sep,20.57,73.8,0.51,3.19,99.5,35.24,28.29,7.61,6.01
2025-10-01,2025,10,Oct,17.81,74.47,0.69,10.54,99.53,33.7,26.82,5.7,3.87
2025-11-01,2025,11,Nov,13.4,78.73,0.85,21.44,99.64,31.61,25.14,10.84,4.53
2025-12-01,2025,12,Dec,14.51,66.13,0.92,5.09,99.73,29.81,24.16,5.2,4.36
